3 phase apparent power all meters exported from database
Time,AG_SCIENCE__MCC_MTR,BIOMEDICAL_SCIENCE_CH_MTR_1,BIOMEDICAL_SCIENCE_CH_MTR_2,BIOMEDICAL_SCIENCE_MAIN_A_MTR,BIOMEDICAL_SCIENCE_MAIN_B_MTR,BIOMEDICAL_SCIENCE_MCC_A_MTR,HAMILTON_LIB_PH_III_CH_1_MTR,HAMILTON_LIB_PH_III_CH_2_MTR,HAMILTON_LIB_PH_III_CH_3_MTR,HAMILTON_LIB_PH_III_MAIN_1_MTR,HAMILTON_LIB_PH_III_MAIN_2_MTR,HAMILTON_LIB_PH_III_MCC_AC1_MTR,HAMILTON_LIB_PH_III_MCC_AC2_MTR
Aug 11 24  10:49,142600.00,0.00,288600.00,729590.00,41770.00,148730.00,0.00,130570.00,1810.00,315730.00,84240.00,58500.00,19460.00
Aug 11 24  10:50,125750.00,0.00,291960.00,735550.00,41520.00,150830.00,1630.00,130570.00,1810.00,314840.00,84170.00,58500.00,19150.00
Aug 11 24  10:51,120850.00,0.00,291470.00,736080.00,42530.00,152990.00,1630.00,130640.00,1800.00,322920.00,84180.00,58500.00,19150.00
Aug 11 24  10:52,131030.00,0.00,291650.00,732320.00,42260.00,152590.00,1630.00,130640.00,1800.00,334270.00,84420.00,58640.00,19940.00
Aug 11 24  10:53,138440.00,0.00,291710.00,740670.00,42970.00,154870.00,1620.00,131830.00,1800.00,329290.00,84540.00,58640.00,19940.00
Aug 11 24  10:54,139750.00,0.00,291630.00,746120.00,40250.00,153760.00,1620.00,131830.00,1490.00,333690.00,84560.00,58180.00,19940.00
Aug 11 24  10:55,138150.00,0.00,291010.00,738810.00,39410.00,154800.00,1620.00,131830.00,1490.00,332590.00,84530.00,58180.00,19830.00
Aug 11 24  10:56,132650.00,0.00,291760.00,739340.00,40220.00,153990.00,1620.00,133250.00,1500.00,352610.00,84430.00,58180.00,19830.00
Aug 11 24  10:57,125160.00,0.00,290670.00,730480.00,40690.00,151810.00,1620.00,133250.00,1500.00,358320.00,84520.00,59180.00,19830.00
Aug 11 24  10:58,135110.00,0.00,292250.00,729950.00,41100.00,150660.00,1630.00,133250.00,1500.00,361680.00,84240.00,59180.00,20290.00
Aug 11 24  10:59,128320.00,0.00,293570.00,737080.00,39880.00,151550.00,1630.00,134680.00,1490.00,364430.00,84130.00,59180.00,20290.00
Aug 11 24  11:00,140340.00,0.00,292300.00,738310.00,40920.00,153930.00,1630.00,134680.00,1490.00,353150.00,84200.00,58910.00,20980.00
Aug 11 24  11:01,140090.00,0.00,291830.00,747920.00,40470.00,153950.00,1640.00,136590.00,1490.00,351160.00,84090.00,58910.00,20980.00
Aug 11 24  11:02,127410.00,0.00,292730.00,749740.00,41380.00,152740.00,1640.00,136590.00,1490.00,344410.00,84650.00,59060.00,20980.00
Aug 11 24  11:03,138680.00,0.00,292450.00,735320.00,42370.00,152900.00,1620.00,136590.00,1490.00,352220.00,86700.00,59060.00,22290.00
Aug 11 24  11:04,145590.00,0.00,293060.00,734270.00,41540.00,153720.00,1620.00,137680.00,1490.00,344650.00,84350.00,59060.00,22290.00
Aug 11 24  11:05,123670.00,0.00,292270.00,739960.00,41760.00,151660.00,1620.00,137680.00,1490.00,342780.00,84450.00,59120.00,22640.00
Aug 11 24  11:06,126750.00,0.00,291610.00,739040.00,40100.00,152050.00,1630.00,138720.00,1490.00,341020.00,84870.00,59120.00,22640.00
Aug 11 24  11:07,138270.00,0.00,291930.00,738520.00,40450.00,149770.00,1630.00,138720.00,1500.00,343510.00,84920.00,58990.00,22640.00
Aug 11 24  11:08,125780.00,0.00,291360.00,735860.00,41140.00,151200.00,0.00,138720.00,1500.00,345230.00,84710.00,58990.00,22680.00
Aug 11 24  11:09,134290.00,0.00,292300.00,741020.00,39500.00,151650.00,0.00,141080.00,1500.00,356550.00,84550.00,58990.00,22680.00
